2016,10,9,w,80.5,
2016,10,9,c,2000,
2016,10,9,f,Yogurt (4oz),1
2016,10,9,f,Bad Dinner,1
2016,10,9,f,Yogurt (4oz),1
2016,10,10,f,Yogurt (4oz),2
2016,10,10,f,PB+J Sandwich,1
2016,10,10,f,Cola (can),1
2016,10,10,f,Pizza Slice,1.5
2016,10,10,f,Cola (can),1
2016,10,10,f,Yogurt (4oz),1
2019,4,3,f,Hot dog,1
2019,4,3,w,105,
2019,4,3,c,2000,
2019,4,10,f,Hot dog,1
2019,4,10,f,Hot dog bun,2.5
2019,4,15,f,Hot dog,1.5
2019,4,17,c,22,
2019,4,30,c,22222,
2019,4,27,w,66666,
2019,4,10,f,Yogurt (4oz),1.5
2019,4,6,f,Pizza Slice,0
2019,4,6,f,Hot Dog,1.5
2019,4,6,f,Hot Dog,0
2019,4,6,f,Pizza Slice,1.5
2019,4,18,f,Pizza Slice,1.5
2019,4,3,f,Hot Dog,1.5
2019,8,1,f,Hot Dog,1.5
2019,4,6,w,Enter your weight,
2019,4,6,f,Krafna,2
2019,4,6,f,Cevap,4
2019,4,8,w,100,
2019,4,8,w,50.8,
2019,04,08,f,krafna,2.0
2019,04,08,w,234
2019,04,08,c,4324
2019,04,08,f,Pizza Slice,0.0
2019,04,08,f,Pizza Slice,0.0
2019,04,08,f,Pizza Slice,0.0
2019,04,08,f,Pizza Slice,0.5
2019,04,08,f,krafna,2.0
